velX_min,velX_max,velX_mean,velX_median,velX_first,velX_last,velY_min,velY_max,velY_mean,velY_median,velY_first,velY_last,vel_min,vel_max,vel_mean,vel_median,vel_first,vel_last,velRX_min,velRX_max,velRX_mean,velRX_median,velRX_first,velRX_last,velRY_min,velRY_max,velRY_mean,velRY_median,velRY_first,velRY_last,velR_min,velR_max,velR_mean,velR_median,velR_first,velR_last,accelerationX_min,accelerationX_max,accelerationX_mean,accelerationX_median,accelerationX_first,accelerationX_last,1/5_accelerationX_mean,1/5_accelerationX_median,2/5_accelerationX_mean,2/5_accelerationX_median,4/5_accelerationX_mean,4/5_accelerationX_median,accelerationY_min,accelerationY_max,accelerationY_mean,accelerationY_median,accelerationY_first,accelerationY_last,1/5_accelerationY_mean,1/5_accelerationY_median,2/5_accelerationY_mean,2/5_accelerationY_median,4/5_accelerationY_mean,4/5_accelerationY_median,acceleration_min,acceleration_max,acceleration_mean,acceleration_median,acceleration_first,acceleration_last,1/5_acceleration_mean,1/5_acceleration_median,2/5_acceleration_mean,2/5_acceleration_median,4/5_acceleration_mean,4/5_acceleration_median,accelerationRX_min,accelerationRX_max,accelerationRX_mean,accelerationRX_median,accelerationRX_first,accelerationRX_last,1/5_accelerationRX_mean,1/5_accelerationRX_median,2/5_accelerationRX_mean,2/5_accelerationRX_median,4/5_accelerationRX_mean,4/5_accelerationRX_median,accelerationRY_min,accelerationRY_max,accelerationRY_mean,accelerationRY_median,accelerationRY_first,accelerationRY_last,1/5_accelerationRY_mean,1/5_accelerationRY_median,2/5_accelerationRY_mean,2/5_accelerationRY_median,4/5_accelerationRY_mean,4/5_accelerationRY_median,accelerationR_min,accelerationR_max,accelerationR_mean,accelerationR_median,accelerationR_first,accelerationR_last,1/5_accelerationR_mean,1/5_accelerationR_median,2/5_accelerationR_mean,2/5_accelerationR_median,4/5_accelerationR_mean,4/5_accelerationR_median,pressure_min,pressure_max,pressure_mean,pressure_median,pressure_first,pressure_last,dragTime,widthX,widthY,widthRX,widthRY,Mode
-5.94059408,0,-1.837091674,-0.526762509,-0.14159076,-5.94059408,-0.549014223,1.346532241,0.212092875,0,-0.353982302,1.346532241,0,6.091289445,1.894675187,0.678747617,0.381249805,6.091289445,-5.94059408,0,-1.837091674,-0.526762509,-0.14159076,-5.94059408,-0.549017215,1.346532241,0.212092859,0,-0.353982302,1.346532241,0,6.091289445,1.89467518,0.678747311,0.381249805,6.091289445,-0.588177634,0.528211162,-0.037003769,-0.004260149,-0.012530156,-0.588177634,-0.058115323,-0.086247411,-0.035700841,0.132503884,-0.044210509,-0.04424678,-0.128051404,0.133320024,0.008987157,0.015369405,-0.031325868,0.133320024,0.019282392,0.035930474,0.011650671,-0.022140102,0.013240627,0.015369405,-0.543510988,0.603097967,0.037625991,0.008069653,0.033738921,0.603097967,0.060759933,0.091726377,0.037280698,-0.134339984,0.044714499,0.040635319,-0.588177634,0.528211162,-0.037003769,-0.004260149,-0.012530156,-0.588177634,-0.058115323,-0.086247411,-0.035700841,0.132503884,-0.044210509,-0.04424678,-0.128051709,0.133320024,0.008987146,0.015369991,-0.031325868,0.133320024,0.019282479,0.035930801,0.011650722,-0.022140426,0.013240579,0.015369991,-0.54351106,0.603097967,0.037625996,0.008069435,0.033738921,0.603097967,0.060759948,0.091726442,0.037280706,-0.134340036,0.044714522,0.040635462,0.977539063,0.98046875,0.979926215,0.98046875,0.979492188,0.977539063,183.1,324,50.3999939,324,50.40002441,page
-6.422540348,0,-2.394139477,-2.588231692,-0.733944956,-5.64706242,-1.490194276,1.647057629,0.01986489,0,-0.66055158,1.647057629,0,6.438335819,2.498217773,2.986573667,0.9874227,5.88235606,-6.422540348,0,-2.394139477,-2.588231692,-0.733944956,-5.64706242,-1.490197268,1.647057629,0.019864626,0,-0.66055158,1.647057629,0,6.438335217,2.49821777,2.98657516,0.9874227,5.88235606,-0.904583145,0.350275917,-0.078368447,-0.0673344,-0.0673344,-0.553633571,-0.101678827,-0.101678827,-0.05334365,-0.005008472,-0.068102856,0.281329532,-0.098030204,0.161977639,0.016033738,0.004845497,-0.060601063,0.161476238,0.042664637,0.042664637,0.02647501,0.010285383,0.035367744,0.063480921,-0.358457219,0.906807859,0.080120855,0.090589239,0.090589239,0.576701575,0.109122178,0.109122178,0.057982232,0.006842286,0.066082775,-0.297157204,-0.904583145,0.350275917,-0.078368447,-0.0673344,-0.0673344,-0.553633571,-0.101678827,-0.101678827,-0.05334365,-0.005008472,-0.068102856,0.281329532,-0.098029629,0.161977964,0.016033706,0.004846519,-0.060601063,0.161476238,0.042664637,0.042664637,0.026474935,0.010285233,0.035367738,0.06347971,-0.358457219,0.906807774,0.080120848,0.090589239,0.090589239,0.576701575,0.109122178,0.109122178,0.05798222,0.006842262,0.06608275,-0.29715711,0.979492188,0.98046875,0.980202415,0.98046875,0.98046875,0.979492188,121.4,282.3999634,47.20007324,282.3999634,47.20001221,page
-6.432992216,0,-2.101601513,-0.939659326,-0.262296083,0,-0.765952249,1.896912882,0.270176406,0,-0.590162434,0,0,6.706837357,2.194670224,1.217541979,0.645825777,0,-6.432992216,0,-2.101601513,-0.939659326,-0.262296083,0,-0.765952249,1.896909736,0.270176595,0,-0.590164936,0,0,6.706836467,2.19467046,1.217543122,0.645828062,0,-0.663195075,0.578218062,0.002889951,0.086719105,-0.021499679,0.376376131,-0.004146644,0.274379012,0.097731458,0.325377571,0.018561482,0.156992483,-0.168167435,0.195558029,-0.000262263,-0.019569584,-0.04837397,-0.168167435,-0.002383495,-0.034541078,-0.016373827,-0.057699082,0.005374787,-0.01479352,-0.584745732,0.691426532,-0.003912307,-0.108248569,0.052936539,-0.41223692,0.003072061,-0.26997343,-0.099419637,-0.341105175,-0.020424197,-0.173714387,-0.663195075,0.578218062,0.002889951,0.086719105,-0.021499679,0.376376131,-0.004146644,0.274379012,0.097731458,0.325377571,0.018561482,0.156992483,-0.168168046,0.195557705,-0.000262271,-0.019569597,-0.048374175,-0.168168046,-0.002383547,-0.034540299,-0.016373802,-0.057698692,0.00537477,-0.014793238,-0.584745687,0.691426441,-0.003912317,-0.108248684,0.052936726,-0.412237169,0.003072041,-0.269973147,-0.099419639,-0.341105158,-0.020424202,-0.173714387,0.979492188,0.98046875,0.980329241,0.98046875,0.98046875,0.979492188,146.7,332.7999878,72.79998779,332.7999878,72.79998779,page
-7.3333295,0,-2.520642089,-1.581114812,-0.144147443,-4.571427348,-1.224489794,2.333332692,0.429686885,0,-0.216215666,1.632653069,0,7.69559374,2.670229283,1.909286868,0.259860923,4.85422538,-7.3333295,0,-2.520642089,-1.581114812,-0.144147443,-4.571427348,-1.224489794,2.333335871,0.429686664,0,-0.216218415,1.632653069,0,7.695594704,2.670229629,1.909287321,0.259863211,4.85422538,-0.589849532,0.691823536,-0.026965017,-0.096943339,-0.012986256,-0.466472181,0.112675678,0.112675678,-0.011589056,-0.100307769,-0.021701504,-0.156265444,-0.220125725,0.166597253,0.011207749,0.019195942,-0.019478889,0.166597253,-0.026764236,-0.026764236,0.016239233,0.057870774,0.025685699,0.065969512,-0.725999408,0.612387519,0.029432615,0.125757386,0.023410894,0.495329123,-0.115335142,-0.115335142,0.015637746,0.112688391,0.019095411,0.16736512,-0.589849532,0.691823536,-0.026965017,-0.096943339,-0.012986256,-0.466472181,0.112675678,0.112675678,-0.011589056,-0.100307769,-0.021701504,-0.156265444,-0.220126025,0.166597253,0.011207753,0.019195984,-0.019479136,0.166597253,-0.026764386,-0.026764386,0.016239239,0.057871105,0.025685701,0.065969678,-0.725999499,0.612387519,0.029432614,0.125757319,0.0234111,0.495329123,-0.115335188,-0.115335188,0.015637748,0.112688492,0.019095412,0.167365216,0.978515625,0.98046875,0.980143229,0.98046875,0.98046875,0.978515625,130.4,328.7999878,82.39993286,328.7999878,82.39996338,page
-7.905883789,0,-2.45367105,-0.729249915,-0.152378627,0,-0.326528743,2.139534168,0.43300948,0,-0.228570847,0,0,7.986147684,2.52521601,0.810512718,0.274706895,0,-7.905883789,0,-2.45367105,-0.729249915,-0.152378627,0,-0.326531857,2.139537717,0.433009344,0,-0.228573754,0,0,7.986148191,2.525216348,0.810514305,0.274709314,0,-0.563628055,0.767561536,-0.008048236,-0.066844941,-0.01451225,0.634644243,0.257733305,0.257733305,-0.004322291,-0.119177633,-0.009730445,-0.126227653,-0.199956465,0.136352717,0.002836454,0.01456132,-0.021768652,-0.199956465,-0.063581778,-0.063581778,0.002556486,0.072792908,0.003294901,0.019297567,-0.775354148,0.572976219,0.008375108,0.080445469,0.026162561,-0.665399056,-0.265335339,-0.265335339,0.004873571,0.134728377,0.010180943,0.13605391,-0.563628055,0.767561536,-0.008048236,-0.066844941,-0.01451225,0.634644243,0.257733305,0.257733305,-0.004322291,-0.119177633,-0.009730445,-0.126227653,-0.199956796,0.136352469,0.002836473,0.014561466,-0.021768929,-0.199956796,-0.063581578,-0.063581578,0.002556516,0.07279364,0.003294923,0.019297721,-0.775354197,0.572976278,0.008375112,0.080445687,0.026162792,-0.665399155,-0.265335287,-0.265335287,0.00487358,0.134728582,0.010180948,0.136054051,0.979492188,0.98046875,0.979980469,0.979980469,0.98046875,0.979492188,130.8,320,67.19998169,320,67.20001221,page
-5.978952508,0,-1.799955029,-0.222218831,0,0,-0.854373677,1.852625797,0.231125419,0,-0.62135863,0,0,6.259400565,1.953988047,0.702723007,0.62135863,0,-5.978952508,0,-1.799955029,-0.222218831,0,0,-0.854373677,1.852629009,0.231125447,0,-0.621361593,0,0,6.259401516,1.953988273,0.702723007,0.621361593,0,-0.629363422,0.591975498,-0.0066438,0,0,0.31593396,0.189224296,0.31593396,0.061056318,0.31593396,-0.008846897,0.00757634,-0.183428297,0.195013242,0.002377295,-0.012893315,-0.060326081,-0.109890005,-0.058325074,-0.109890005,-0.014341148,-0.091743761,0.002739893,-0.014608965,-0.619742632,0.65888427,0.006699971,0.007533739,0.060326081,-0.334499747,-0.198003961,-0.334499747,-0.0626788,-0.334499747,0.009094623,-0.017071934,-0.629363422,0.591975498,-0.0066438,0,0,0.31593396,0.189224296,0.31593396,0.061056318,0.31593396,-0.008846897,0.00757634,-0.183428615,0.19501358,0.002377294,-0.012893274,-0.060326368,-0.109890005,-0.05832518,-0.109890005,-0.014341086,-0.091743469,0.002739894,-0.014609256,-0.619742727,0.65888437,0.006699972,0.007533464,0.060326368,-0.334499747,-0.198003993,-0.334499747,-0.062678785,-0.334499747,0.009094623,-0.017071921,0.98046875,0.98046875,0.98046875,0.98046875,0.98046875,0.98046875,133.1,268,63.19998169,268,63.20001221,page
-0.080806848,0.516127722,0.101063557,0.066975202,0,0,-0.088887533,0.158410403,0.000335118,0,0,0,0,0.523245803,0.106186903,0.072126333,0,0,-0.080806848,0.516127722,0.101063557,0.066975202,0,0,-0.088887533,0.158413425,0.000335119,0,0,0,0,0.523246882,0.106186985,0.072126333,0,0,-0.059820386,0.055497605,-0.00060935,0,0,-0.015255297,-0.000941302,0,-0.001399986,0,-0.000823671,0,-0.016617444,0.015684198,5.57E-06,0,0,-0.007628231,6.52E-05,0,4.59E-05,0,2.69E-05,0,-0.060645388,0.05626299,-0.000616181,0,0,-0.017056201,-0.000938283,0,-0.001402862,0,-0.000838812,0,-0.059820386,0.055497605,-0.00060935,0,0,-0.015255297,-0.000941302,0,-0.001399986,0,-0.000823671,0,-0.01661681,0.015684498,5.57E-06,0,0,-0.007628231,6.52E-05,0,4.59E-05,0,2.69E-05,0,-0.060645513,0.056263106,-0.00061618,0,0,-0.017056201,-0.000938284,0,-0.001402863,0,-0.000838811,0,0.34375,0.98046875,0.974900769,0.98046875,0.34375,0.979492188,2534.1,260,6.399932861,260,6.399963379,pen
-0.086020193,0.395055699,0.067038968,0,0,0,-0.148145887,0.098763925,-0.000921247,0,0.076195126,0,0,0.407214094,0.075682706,0,0.076195126,0,-0.086020193,0.395055699,0.067038968,0,0,0,-0.148145887,0.098763925,-0.000921247,0,0.076195126,0,0,0.407214094,0.075682706,0,0.076195126,0,-0.041758012,0.048772308,-0.000306488,0,0,0.007930698,-0.000323566,0,-0.000545456,0,-0.000446963,0,-0.017107306,0.012449234,6.82E-06,0,0.007256679,0,0,0,6.18E-05,0,5.85E-05,0,-0.042585084,0.050273345,-0.000328645,0,0.007256679,-0.007930698,-0.000394255,0,-0.000591165,0,-0.000495223,0,-0.041758012,0.048772308,-0.000306488,0,0,0.007930698,-0.000323566,0,-0.000545456,0,-0.000446963,0,-0.017107306,0.012449234,6.82E-06,0,0.007256679,0,0,0,6.18E-05,0,5.85E-05,0,-0.042585084,0.050273345,-0.000328645,0,0.007256679,-0.007930698,-0.000394255,0,-0.000591165,0,-0.000495223,0,0.18359375,0.979492188,0.975184078,0.978515625,0.18359375,0.978515625,2266.6,160.8000488,7.200012207,160.8000488,7.200012207,pen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.306122443,0,-1.767273315,-0.9719649,-0.145452326,-3.037035903,-0.720001221,1.224489794,0.017899033,0,-0.218178489,0.888892279,0,5.445577162,1.844624534,1.141262021,0.26221791,3.164445696,-5.306122443,0,-1.767273315,-0.9719649,-0.145452326,-3.037035903,-0.720001221,1.224489794,0.017899033,0,-0.218178489,0.888892279,0,5.445577162,1.844624534,1.141262021,0.26221791,3.164445696,-0.541441065,0.448112968,-0.022106628,-0.02187794,-0.013222939,0.210100605,-0.16567023,-0.16567023,-0.07356746,-0.041687564,-0.023119114,-0.055570692,-0.072000122,0.124947938,0.009318285,-0.015016981,-0.019834408,-0.031073844,0.046937047,0.046937047,0.022585887,-0.001561849,0.015261392,0.027950146,-0.449215009,0.555671138,0.022979757,0.025608263,0.023837992,-0.211215876,0.172227631,0.172227631,0.076804225,0.041793908,0.022592341,0.056784722,-0.541441065,0.448112968,-0.022106628,-0.02187794,-0.013222939,0.210100605,-0.16567023,-0.16567023,-0.07356746,-0.041687564,-0.023119114,-0.055570692,-0.072000122,0.124947938,0.009318285,-0.015016981,-0.019834408,-0.031073844,0.046937047,0.046937047,0.022585887,-0.001561849,0.015261392,0.027950146,-0.449215009,0.555671138,0.022979757,0.025608263,0.023837992,-0.211215876,0.172227631,0.172227631,0.076804225,0.041793908,0.022592341,0.056784722,0.979492188,0.982421875,0.981622869,0.982421875,0.979492188,0.979492188,113.6,200,24.80004883,200,24.80004883,page
-4.85981309,0,-1.974363698,-1.696228784,-0.60377589,-3.018867918,-0.484850333,1.196263395,0.214350781,0,-0.226420277,1.056602044,0,5.004880556,2.030653572,1.732023201,0.64483445,3.198432645,-4.85981309,0,-1.974363698,-1.696228784,-0.60377589,-3.018867918,-0.48484725,1.196260543,0.214351211,0,-0.226417398,1.056604923,0,5.004879874,2.030653472,1.732023049,0.644833439,3.198433596,-0.45418814,0.517001394,-0.022791415,-0.087772894,-0.05695999,-0.28479886,0.116101267,0.116101267,-0.073995202,-0.28479886,-0.001130922,-0.10778431,-0.127262064,0.111800317,0.009910263,0.004827302,-0.021360404,0.099679438,-0.013791313,-0.013791313,0.028072564,0.099679438,0.021124426,0.03884675,-0.532434103,0.467745847,0.024692535,0.090915275,0.060833439,0.301738928,-0.115347587,-0.115347587,0.079016891,0.301738928,0.002618288,0.105430327,-0.45418814,0.517001394,-0.022791415,-0.087772894,-0.05695999,-0.28479886,0.116101267,0.116101267,-0.073995202,-0.28479886,-0.001130922,-0.10778431,-0.12726176,0.111800051,0.009910305,0.00482704,-0.021360132,0.099679709,-0.013791025,-0.013791025,0.028072667,0.099679709,0.021124433,0.038846784,-0.53243403,0.467745783,0.024692547,0.090915238,0.060833343,0.301739018,-0.115347506,-0.115347506,0.079016923,0.301739018,0.002618316,0.105430374,0.981445313,0.983398438,0.982788086,0.982910156,0.982421875,0.981445313,89,188.7999878,39.99996948,188.7999878,40,page
-5.642102693,0,-2.207493171,-2.050215816,-0.609520322,-3.49091131,-0.307690548,1.431576377,0.310000705,0,-0.228570847,1.163638028,0,5.820887709,2.262819977,2.101393524,0.650968244,3.679743909,-5.642102693,0,-2.207493171,-2.050215816,-0.609520322,-3.49091131,-0.307693482,1.431582802,0.310000431,0,-0.228573754,1.163635254,0,5.82088929,2.262820224,2.101394161,0.650969265,3.679743032,-0.593905547,0.564210269,-0.045451221,-0.073260491,-0.058049554,-0.317355574,0.123427348,0.123427348,-0.115683617,-0.317355574,-0.061085374,-0.2029135,-0.143157638,0.15069225,0.015272723,0.000544216,-0.021768652,0.105785275,-0.018686181,-0.018686181,0.037773296,0.105785275,0.020182226,0.023562089,-0.582088771,0.612725022,0.047704595,0.075594401,0.061996976,0.334522174,-0.123783299,-0.123783299,0.121719475,0.334522174,0.064122768,0.211857,-0.593905547,0.564210269,-0.045451221,-0.073260491,-0.058049554,-0.317355574,0.123427348,0.123427348,-0.115683617,-0.317355574,-0.061085374,-0.2029135,-0.14315828,0.150692927,0.015272701,0.000544223,-0.021768929,0.105785023,-0.018686629,-0.018686629,0.037773223,0.105785023,0.020182194,0.023562103,-0.582088929,0.612725188,0.047704585,0.075594436,0.061997073,0.334522094,-0.123783418,-0.123783418,0.121719451,0.334522094,0.064122755,0.211856947,0.98046875,0.982421875,0.981689453,0.981445313,0.981445313,0.98046875,83.30000001,189.6000366,37.6000061,189.6000366,37.60003662,page
-4.250005102,0,-1.554614771,-0.888887653,-0.444443314,0,-0.161616778,1.454547924,0.364002636,0,-0.074075769,0,0,4.330933827,1.619701522,0.903460703,0.450574166,0,-4.250005102,0,-1.554614771,-0.888887653,-0.444443314,0,-0.161613695,1.454547924,0.364002906,0,-0.074072944,0,0,4.330933827,1.619701348,0.903460152,0.450573701,0,-0.359147152,0.442708864,0.009785381,-0.044893367,-0.041152159,0.35555568,-0.001795736,-0.001795736,0.079545914,0.139301802,0.021520525,-0.076952076,-0.145454792,0.146924033,-0.002986479,0,-0.006858868,-0.145454792,0.00073462,0.00073462,-0.026701401,-0.054137423,-0.001905542,0.015690949,-0.451138939,0.388037818,-0.010316943,0.045746115,0.04171983,-0.384157439,0.00194019,0.00194019,-0.083917765,-0.149850381,-0.022328035,0.084456677,-0.359147152,0.442708864,0.009785381,-0.044893367,-0.041152159,0.35555568,-0.001795736,-0.001795736,0.079545914,0.139301802,0.021520525,-0.076952076,-0.145454792,0.146924033,-0.002986483,0,-0.006858606,-0.145454792,0.00073462,0.00073462,-0.026701338,-0.054137296,-0.001905578,0.01569065,-0.451138939,0.388037818,-0.010316943,0.045746106,0.041719787,-0.384157439,0.00194019,0.00194019,-0.083917745,-0.149850342,-0.02232803,0.084456755,0.98046875,0.982421875,0.981977983,0.982421875,0.981445313,0.98046875,115.5,183.2000122,48.80001831,183.2000122,48.79998779,page
0,4.224716341,1.594742916,0.699030311,0,4.224716341,-0.340420338,0,-0.109696539,-0.077668718,-0.077668718,-0.179772537,0,4.228539503,1.609263419,0.716081765,0.077668718,4.228539503,0,4.224716341,1.594742916,0.699030311,0,4.224716341,-0.340420338,0,-0.109696539,-0.077668718,-0.077668718,-0.179772537,0,4.228539503,1.609263419,0.716081765,0.077668718,4.228539503,-0.331913397,0.308205295,0.044119749,0.06786702,0,0.098793584,0.201462857,0.201462857,0.094804403,0.201462857,0.047030103,0.098793584,-0.028682932,0.033704984,-0.002388416,-0.007540652,-0.007540652,-0.020199161,-0.010099581,-0.010099581,-0.004729404,-0.008330053,-0.000916349,0,-0.332397963,0.30865525,0.044186182,0.061981849,0.007540652,0.099223153,0.201677642,0.201677642,0.094903143,0.201677642,0.04687902,0.099223153,-0.331913397,0.308205295,0.044119749,0.06786702,0,0.098793584,0.201462857,0.201462857,0.094804403,0.201462857,0.047030103,0.098793584,-0.028682932,0.033704984,-0.002388416,-0.007540652,-0.007540652,-0.020199161,-0.010099581,-0.010099581,-0.004729404,-0.008330053,-0.000916349,0,-0.332397963,0.30865525,0.044186182,0.061981849,0.007540652,0.099223153,0.201677642,0.201677642,0.094903143,0.201677642,0.04687902,0.099223153,0.978515625,0.981445313,0.981011285,0.981445313,0.981445313,0.978515625,95.30000001,140.7999878,8.799987793,140.7999878,8.799987793,page
0,0.928570885,0.389006065,0.313726687,0,0.627453375,0,0.357143198,0.146200341,0.113829084,0.070797068,0.1568611,0,0.994884492,0.428111287,0.358780329,0.070797068,0.64676359,0,0.928570885,0.389006065,0.313726687,0,0.627453375,0,0.357142858,0.146200359,0.113829289,0.07079673,0.156861848,0,0.994884369,0.428111218,0.358780251,0.07079673,0.646763772,-0.110544153,0.082908115,0.00846975,0.030757518,0,0.061515037,0.061515037,0.061515037,-0.024514558,-0.024514558,0.011292999,0.061515037,-0.042517048,0.025566619,0.001173334,0.010821883,0.006265227,0.015378539,0.015378539,0.015378539,-0.013569254,-0.013569254,-0.000523963,0.015378539,-0.11843863,0.082507806,0.008435649,0.034836711,0.006265227,0.063408195,0.063408195,0.063408195,-0.027515218,-0.027515218,0.009159124,0.063408195,-0.110544153,0.082908115,0.00846975,0.030757518,0,0.061515037,0.061515037,0.061515037,-0.024514558,-0.024514558,0.011292999,0.061515037,-0.042517007,0.025566619,0.001173355,0.010821905,0.006265197,0.015378613,0.015378613,0.015378613,-0.013569197,-0.013569197,-0.000523925,0.015378613,-0.118438616,0.082507825,0.008435655,0.034836705,0.006265197,0.063408213,0.063408213,0.063408213,-0.027515201,-0.027515201,0.009159141,0.063408213,0.905273438,0.979492188,0.960449219,0.978515625,0.905273438,0.977539063,51.09999996,18.3999939,5.59998703,18.3999939,5.599990845,pen
-0.583333968,0.523365057,0.058699686,0,-0.066665649,0.33684339,-0.533331735,0.851063832,0.052432451,0,0,-0.252630936,0,0.992501785,0.227806525,0.105331105,0.066665649,0.421053274,-0.583333968,0.523365057,0.058699686,0,-0.066665649,0.33684339,-0.533332461,0.851063832,0.052432445,0,0,-0.252632543,0,0.992501785,0.227806537,0.105331105,0.066665649,0.421054238,-0.060763955,0.048912622,8.62E-05,0,-0.005555471,0.035457199,0.000600623,0.005095382,0.001203487,0.008329735,-9.09E-05,0.002390845,-0.074654722,0.060764038,0.000196529,0,0,-0.02659273,-0.000807889,0.008252103,-0.000252714,0,0.000294193,0,-0.08706156,0.085933268,0.000943351,0,0.005555471,0.044321397,0.001332819,0.00655353,0.000743264,-0.000606,0.001025302,0.002100243,-0.060763955,0.048912622,8.62E-05,0,-0.005555471,0.035457199,0.000600623,0.005095382,0.001203487,0.008329735,-9.09E-05,0.002390845,-0.074654722,0.060763955,0.000196525,0,0,-0.026592899,-0.000807901,0.008252061,-0.000252723,0,0.000294189,0,-0.08706156,0.085933209,0.000943353,0,0.005555471,0.044321499,0.001332827,0.006553483,0.000743269,-0.000606,0.001025304,0.002100213,0.978515625,0.979492188,0.979374327,0.979492188,0.978515625,0.978515625,589.5,39.19998169,38.40001678,39.19998169,38.40000916,pen
-0.421052632,0.461537289,0.044655762,0,0,0.404040405,-0.769230771,0.926315308,0.081492071,0,0,-0.242423626,0,1.017519222,0.261948204,0.097116,0,0.471187716,-0.421052632,0.461537289,0.044655762,0,0,0.404040405,-0.769230771,0.926316111,0.081492051,0,0,-0.242425168,0,1.017519953,0.261948268,0.097116463,0,0.471188509,-0.04432133,0.044378586,0.000563874,0,0,-0.004928145,0.002422046,0.00262019,0.001869166,-0.004928145,0.000744,0,-0.08906878,0.097506874,-0.000429599,0,0,-0.039734028,-0.008988122,-0.008414001,-0.002435828,0.014239929,-0.000657459,-0.002972635,-0.097838387,0.107107287,0.000920891,0,0,-0.000619806,-0.00068961,0.015403652,0.001702734,-0.000619806,0.001002358,-0.000309903,-0.04432133,0.044378586,0.000563874,0,0,-0.004928145,0.002422046,0.00262019,0.001869166,-0.004928145,0.000744,0,-0.089068857,0.097506959,-0.000429603,0,0,-0.039734257,-0.008988143,-0.008413967,-0.00243584,0.014239997,-0.000657464,-0.002972663,-0.097838457,0.107107364,0.000920894,0,0,-0.000619748,-0.000689601,0.01540372,0.001702742,-0.000619748,0.001002361,-0.000309874,0.977539063,0.979492188,0.979306176,0.979492188,0.977539063,0.977539063,429,36,43.99999237,36,44,pen
-0.244897336,0.444443316,0.065979333,0,0.072070973,0,-0.740740744,0.897957937,0.018890333,0,0,0,0,0.930754082,0.21954431,0.083333652,0.072070973,0,-0.244897336,0.444443316,0.065979333,0,0.072070973,0,-0.740740744,0.897957937,0.018890323,0,0,0,0,0.930754082,0.219544379,0.083333652,0.072070973,0,-0.055236114,0.041152159,-0.000204768,0,0.00649288,-0.026437474,-0.000568407,0,-0.000326807,0,-0.001150143,0,-0.092572983,0.092059838,-0.000228789,0,0,-0.008812547,-0.003508987,-0.007936538,-0.001422633,0.000372063,0.001011272,0.001659278,-0.107359406,0.081780705,-0.001064353,0,0.00649288,-0.027867562,-0.00336986,-0.007936538,-0.001304335,-0.000424565,-0.002896807,-0.000424565,-0.055236114,0.041152159,-0.000204768,0,0.00649288,-0.026437474,-0.000568407,0,-0.000326807,0,-0.001150143,0,-0.092572983,0.092059838,-0.000228788,0,0,-0.008812547,-0.003508984,-0.007936538,-0.001422632,0.000372025,0.001011273,0.001659276,-0.107359406,0.081780644,-0.001064352,0,0.00649288,-0.027867562,-0.003369857,-0.007936538,-0.001304333,-0.000424569,-0.002896806,-0.000424569,0.977539063,0.979492188,0.979385653,0.979492188,0.977539063,0.979492188,552.8,37.6000061,33.59999847,37.6000061,33.6000061,pen
